Тема,Буква,Тип задания,Текст
Природа и проблемы экологии,И,Говорение,"As soon as spring brings a new growth of bushes and berries, bears start feeding. They eat and eat. All through the spring and summer their feeding goes on. The bears build themselves up. They store food and fats that they will need in the fall when they start their long sleep.

As days grow shorter, and the temperature begins to fall, bears hunt for a sleeping place. It may be a shallow cave, or a deep crack between rocks. Some bears end up sleeping in hollow logs. Logs seem to be bears’ favourite places. Bears seem to choose small spaces. They can keep warmer in a cave that’s just large enough to hold them than in a larger cave. They often line their sleeping place with leaves and dried grass.

All through their winter naps, bears will not eat. Often they will sleep for 7 months, moving only now and then."
Природа и проблемы экологии,И,Говорение,"Many lands that had once been swamps were drained or filled in. There are different reasons why people drained swamplands. Some were drained to fight diseases caused by insects that lived in them. Because swamps were considered unpleasant places in which to live and harmful to health, many people thought that unless they were drained the land was worthless.

Other swamps were drained to make new land. As the population grew and more land was needed, people drained swamps or filled them to make room for more farms and factories, more roads and airports.

Few people thought that it might be harmful to get rid of swamps. As swamps disappeared, other things happened. There were both more floods and more droughts than before. There were also more fires, for swamps had acted as firebreaks. Hunters noticed that there was less wild game. Wild life that once lived in the swamps was dying out, because it had no place to live."
Природа и проблемы экологии,И,Говорение,"When you are thinking of starting to live green, your cooking habits are probably the last area where you think you need some improvement. However, being smart in the kitchen is very important for a truly eco-friendly lifestyle. One important example is that you can lose a lot of heat if you open an oven door while baking something. Even if you do it for a short period of time, it will take a significant amount of energy to heat the oven back up.
Another important problem is buying pre-packaged products. Billions of plastic packages like milk bottles or coffee capsules end up in landfills. It is much better to buy products with packages that can be recycled. Use energy-saving cooking methods and turn on your dishwasher only when it's full. Don't buy too much food not to throw the leftovers away. These simple steps are in fact a great contribution to fighting environmental problems."
"Научно-технический прогресс, его перспекти- вы и последствия",С,Говорение,"At that time the British took advantage of new railway lines built to carry people and goods from one part of the country to another. For the first time people could travel long distances quickly and cheaply. Steam engines were used to power locomotives as well as boats. One more improvement was the setup of a cheap postal service. Streets were lit by gas lamps, so they became safe. Special men lit the lamps every evening. People could also travel around the city cheaply using the horse-drawn buses. Some people, even women, started to ride bicycles. So, Great Britain and the British people were celebrating their wealth."
"Научно-технический прогресс, его перспекти- вы и последствия",С,Говорение,"Scientists are certain that the art of writing was known to the Chinese as early as
2000 BC. It is not very easy to lear the Chinese writing system. This is so because the Chinese language doesn't have any alphabet. Each word of the language is represented by a symbol or even a combination of several symbols. This means the language has to have as many symbols as the total number of words in it.
It is enough to know about 25,000 symbols to use Chinese in the written form well. One may think it is a hopeless task to learn so many symbols. However, it is not like that because many symbols look like the corresponding real life objects.
Considering the number of symbols in the Chinese language, it is especially interesting to know that the Chinese invented a kind of a printing press in the 10th century. It is much earlier than the printing press in Europe."
Природа и проблемы экологии,И,Говорение,"Rabbits are nice looking small animals. They look much like hares and have long ears and short tails. They live in most countries of the world. There are some interesting facts about rabbits. For instance, there are over 150 colours of coats of rabbits but only five colours of their eyes. One more funny fact about rabbits is that they can hear what is happening behind them without tuming their head.
At first people treated rabbits as a good and cheap source of tasty meat and fur for winter clothes. However, rabbits breed too fast - a rabbit can have up to 38 babies in one year. That is why in many parts of the world they have become pests. Some countries such as Australia still find it really hard to control the constantly growing population of rabbits. Now many people like to keep rabbits as pets. They are quite friendly and allow children to play with them."
Культурно-исторические особенности своей страны и стран изучаемого языка,К,Говорение,"At its height the population of the city of Rome was probably over 1 million people. However, the Roman Empire was an agricultural society. Most people there made their living from farming. It means that only a small part of the population lived in towns. In the Roman Empire there were two types of people
- citizens and non citizens. Roman citizens had certain privileges. Women had a kind of limited Roman citizenship. They could not vote or hold a public office.
Many of the inhabitants of Rome were slaves. Prisoners of war were made slaves and any children slaves had were also slaves. A slave's life was terrible. Most were probably treated reasonably just to keep them working well. Slaves who worked in mines probably suffered most. Some slaves did manage to save enough monev to buy their freedom. Others were granted their freedom by their owners."
Природа и проблемы экологии,И,Говорение,"More and more people all over the world try to live green. That means they have to recycle. Recycling is the process of sorting and collecting rubbish and using it to create new products. It is an excellent way of preserving natural resources and saving energy. That is why everybody should know that more than a half of what we throw away can be successfully recycled. We can recycle almost anything. The most common materials to recycle are plastic, glass and paper.
Recycling is very important for the mankind. Only if we recycle our litter, we can get rid of huge landfills which take a lot of space and cause the global warming.
Recycling also helps to save our forests from being cut down. It is interesting to know that recycled materials produce up to 73% less air pollution. It is up to the common people to sort their fubbish and recycle things."
"Школьное образование. Изучаемые предметы, отношение к ним. Каникулы",Р,Говорение,"Education is vital for modern people. Now in most countries one can get education for free. However, it was not like that in the past. In ancient Rome people did not have any formal education. Parents but not schools provided children with knowledge and skills at that time. These could be military, domestic or agncultural skills.
Then schools appeared. They were only for boys between 9 and 12 years old who came from wealthy families. Girls could not study there. Roman schools taught wnting and speaking skills and poetry. Foreign languages were also very important. Students had to leam some subjects in Greek to help them master this difficult language. Best students got books as a reward from schools. That was a very expensive present as books were rare at that time. School teachers were deeply respected by the Romans and eamed a high salary."
"Здоровье и забота о нём, самочувствие, медицинские услуги. Здоровый образ жизни",Г,Говорение,"Modern medicine is developing very fast. New important discoveries are m cientists every day. Still, you should not think that in ancient times medic primitive. In the Roman Empire doctors made very important discover nout them modem medicine would have been impossible. nan doctors were mainly Greek slaves. At first they were poor and I try low status. Later Roman doctors began to write books about illnesses ir treatment. In the first century BC a Roman doctor suggested that mals like rats caused disease. Unfortunately with no modem equipment the s no way of testing his theory. The Romans were also skilled engineers, a y created a system of public health. They also knew that dirt could be a reas disease. That is why they paid special attention to keeping their towns clean."
