Тема,Буква,Текст,Картинка 1,Картинка 2,Описание картинки 1,Описание картинки 2,Кто делает
Природа и проблемы экологии,И,"Task 4. Imagine that you are doing a project “Wild animals” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;  
·    mention the advantages and disadvantages (1–2) of the two ways of life of wild animals;
·    express your opinion on the subject of the project – which kind of life you’d prefer for wild animals and why.

You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/3557419EFF21AA4F4705245D4D8F651E(copy1)/innerimg0.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/3557419EFF21AA4F4705245D4D8F651E(copy1)/innerimg1.jpg,"In the picture we see a polar bear in the zoo. Tourists are crowded in front of it, looking at it, taking photos or filming it with a camera.",The photo shows a wild brown bear in its natural habitat.,Маша
Жизнь в городе и сельской местности. Проблемы города и села,Б,"Task 4. Imagine that you are doing a project “Where to live” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;  
·    mention the advantages and disadvantages (1–2) of the two places of living;
·    express your opinion on the subject of the project – which kind of life you’d prefer and why.

You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/961AB7D903EB94A34FC67A5E5E4B4C81(copy1)/innerimg0.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/961AB7D903EB94A34FC67A5E5E4B4C81(copy1)/innerimg1.jpg,"In the picture we see a cityscape. We can see a river, a bridge across the river, many buildings of different heights, many cars on the road, and a river boat. ","In the photo we see a rural landscape. There is a small village with houses with red roofs. We also see many trees around the village. The photo was taken in autumn, as some trees have golden and orange foliage.",Маша
"Здоровье и забота о нём, самочувствие, медицинские услуги. Здоровый образ жизни",Г,"Task 4. Imagine that you are doing a project “Keeping fit” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;  
·    mention the advantages and disadvantages (1–2) of the two ways of keeping fit;
·    express your opinion on the subject of the project – which way of keeping fit you prefer and why.

You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/13E0339A8F65A89A4113272613AB703E(copy1)/xs3qstsrc13E0339A8F65A89A4113272613AB703E_2_1642604284.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/13E0339A8F65A89A4113272613AB703E(copy1)/xs3qstsrc13E0339A8F65A89A4113272613AB703E_4_1642604284.jpg,"In the photo, we see a girl working out on an elliptical trainer at the gym.",In the photo we see a smiling girl eating a salad of fresh vegetables.,Маша
"Здоровье и забота о нём, самочувствие, медицинские услуги. Здоровый образ жизни",Г,"Task 4. Imagine that you are doing a project “Activities” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;  
·    mention the advantages and disadvantages (1–2) of the two ways of spending time;
·    express your opinion on the subject of the project – which of the activities presented in the pictures you’d prefer and why.
You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/18CA0CFA3C58A689404409E064ADCB53/xs3qstsrc2D2E31FA5C7EAFB8410F606C4C28B966_2_1419335103.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/18CA0CFA3C58A689404409E064ADCB53/xs3qstsrc2D2E31FA5C7EAFB8410F606C4C28B966_4_1419335103.jpg,In the photo we see a girl cooking something in a frying pan. Fresh vegetables are lying next to her.,"In the photo, we see a girl standing on a slope on a snowboard. The girl is dressed in winter sports clothing and is wearing special snowboarding goggles. The girl is smiling.",Маша
"Общение в семье и школе, семейные традиции, межличностные отношения с друзьями и знакомыми",В,"Task 4. Imagine that you are doing a project “Celebrations” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;  
·    mention the advantages and disadvantages (1–2) of the two different celebrations;
·    express your opinion on the subject of the project – which of the celebrations in the pictures you like more and why.

You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/A20CEB83EF86936844459CAC465285FB/xs3qstsrc62434D6946569268470982148EBAFC19_2_1419335097.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/A20CEB83EF86936844459CAC465285FB/xs3qstsrc62434D6946569268470982148EBAFC19_4_1419335097.jpg,"In the photo we see a happy family: mum, dad and two daughters. One daughter is now an adult, the other is still a baby. The people are wearing Santa hats, and behind them there is a decorated Christmas tree.","In the photo we see a happy family: mum, dad and son. In the photo, mum and dad are standing to the right and left of their son and kissing him on the cheeks. In front of the son there is a cake with candles and presents. The people wear caps on their heads. We understand it's the boy's birthday.",Маша
"Досуг молодёжи: посещение кружков, спортивных секций, клубов по интересам. Переписка",Е,"Task 4. Imagine that you are doing a project “Leisure activities” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;  
·    mention the advantages and disadvantages (1–2) of the two types of leisure activities;
·    express your opinion on the subject of the project – which of the leisure activities presented in the pictures you’d prefer and why.

You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/D0607DBF4860AAE84B063E7CEFABF967/xs3qstsrc95D35E00EA9FA10546B9445A75AFFB7E_2_1419335108.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/D0607DBF4860AAE84B063E7CEFABF967/xs3qstsrc95D35E00EA9FA10546B9445A75AFFB7E_4_1419335108.jpg,"In the photo we see three people on a snow-covered slope. Behind them there are snowmobiles. All people are wearing winter sport clothes, they have boots and special masks. Perhaps they ride snowmobiles up and down the mountains.","In the photo we see four people: two young women and two young men. They are sitting at home on the sofa in front of the television. One of the women is holding a bowl of popcorn and the other is holding the TV remote control. They are all smiling, they seem to enjoy watching television.",Маша
"Досуг молодёжи: посещение кружков, спортивных секций, клубов по интересам. Переписка",Е,"Task 4. Imagine that you are doing a project “Tastes differ” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;
·    mention the advantages and disadvantages (1–2) of the two hobbies;
·    express your opinion on the subject of the project – which of these hobbies you would prefer and why.

You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/37146D0A6D78801942C7C5019C22FDF1(copy1)/xs3qstsrc37146D0A6D78801942C7C5019C22FDF1_2_1646903540.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/37146D0A6D78801942C7C5019C22FDF1(copy1)/xs3qstsrc37146D0A6D78801942C7C5019C22FDF1_4_1646903540.jpg,"In the photo we see two people: a man and a woman. They are sitting on the floor in front of an easel. The man is holding his picture with his right hand and showing it to the woman. They are discussing the painting. From the expression on their faces, they are interested in discussing it.","In the photo we see a man at an indoor ice rink. The man is dressed in winter clothes, he is wearing a hat and a down jacket. On his shoulder there is a pair of hockey skates. The man smiles and gives a thumbs-up.",Маша
"Досуг молодёжи: посещение кружков, спортивных секций, клубов по интересам. Переписка",Е,"Task 4. Imagine that you are doing a project “Tastes differ” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;
·    mention the advantages and disadvantages (1–2) of the two ways of watching films;
·    express your opinion on the subject of the project – how you prefer to watch films and why.
 
You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/25047A4BB979B8374B14FF7ABD56C45A(copy1)/xs3qstsrc25047A4BB979B8374B14FF7ABD56C45A_2_1646299848.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/25047A4BB979B8374B14FF7ABD56C45A(copy1)/xs3qstsrc25047A4BB979B8374B14FF7ABD56C45A_4_1646299848.jpg,"In the photo we see people in the cinema. There is a screening going on, people are wearing 3D glasses. We can see that people are very enthusiastic about what is happening on the screen. Some people have popcorn in their hands and some have beverage cups.",In the photo we see a couple: a man and a woman. They are sitting cuddled up on a sofa in the living room. There is a television in front of them. They are watching something on the television.,Маша
"Досуг молодёжи: посещение кружков, спортивных секций, клубов по интересам. Переписка",Е,"Task 4. Imagine that you are doing a project “Spending free time” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;
·    mention the advantages and disadvantages (1–2) of the two ways of spending free time;
·    express your opinion on the subject of the project – which way of spending free time presented in the pictures you’d prefer and why.
 
You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/8DACBBF9AC929B6C49FF997B1F6C5997(copy2)/xs3qstsrc8DACBBF9AC929B6C49FF997B1F6C5997_2_1574157506.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/8DACBBF9AC929B6C49FF997B1F6C5997(copy2)/xs3qstsrc8DACBBF9AC929B6C49FF997B1F6C5997_4_1574157506.jpg,"In the photo we see two people, a man and a woman, riding their bikes somewhere in the countryside. They are riding on a dirt road, with meadows and trees all around them.",In the photo we see the girl lying on the sofa watching something on her laptop.,Маша
"Досуг молодёжи: посещение кружков, спортивных секций, клубов по интересам. Переписка",Е,"Task 4. Imagine that you are doing a project “Games” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;
·    mention the advantages and disadvantages (1–2) of the two types of games;
·    express your opinion on the subject of the project – which type of games presented in the pictures you prefer and why.
 
You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/0F34C18460F0B15243A56B2BD5EB82F6(copy2)/xs3qstsrc0F34C18460F0B15243A56B2BD5EB82F6_10_1605620857.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/0F34C18460F0B15243A56B2BD5EB82F6(copy2)/xs3qstsrc0F34C18460F0B15243A56B2BD5EB82F6_11_1605620857.jpg,"In the photo, we see young people sitting at a table playing a board game called Jenga.",In the photo we see the young man sitting on the floor. Behind him there is a sofa. He is holding a joystick in one hand and showing his thumb with the other.,Маша
